text,sentiment
 yay about breaking 200,positive
 bahah sadly i am not,negative
 i always have those for my champions league parties  tis awesome,positive
 well not all just stay away from those kinds and surround yourself with those who dont happy mothers day to ur mom treiz,positive
_adel they didnt reply yet wait till they confirm in case somebody might have translated it already,neutral
 thats rough hubby had knee surgery but it did help him in the end let us know the results well keep him in our prayers,negative
might have to go back much earlier than expected bye bye bay area,neutral
playin city of villains wishin my buddies were playin with me,positive
 yep  three things a good haircut the ability to listen and the value of not taking yourself too seriously,positive
 riley hacked my twitter  hahaha ,neutral
big sad face   bing doesnt work on iphone  it just takes you to the regular mobile live search,neutral
 i liked it  did you record it yourself  if so you have a very soothing voice,positive
man im so sad school is ending  but then again high school might be better o,neutral
 folks thought it was hilarious when i told them the story and then they saw the shirt i wore tonight  laughter all night,positive
 youre the absoute best,positive
oh my god i cried so much watch this guys from bgt  httpbitly5t5xz,neutral
my near daily exercise is starting to show results,neutral
 welcome,positive
bout to hit pmark then make one of my final meals wit the housemates,neutral
 you get to go home and i have to go to work,neutral
voted for  on cmtcom,neutral
just got home from a nice party just not tired yet,positive
now i have a sunburn,negative
i have the job  this is a nice day it can not be better,positive
i wish i could go to bea this weekend,positive
i 3 rupert grint of the boy ive accepted tht i do fancy him  but im certain he doesnt feel the same so its not worth telling him,neutral
 love your books,positive
ok so this eye doctor guy is taking forever and im sitting in a cold room by myselfwhat a jerk,negative
im slowing on my tweetscuase i lost my phone,negative
 well thank your phone for me,positive
 why would they take a photo with stuffed animals thats pretty funny,positive
tweetdeck is acting really strange hum reinstall maybe update on the horizon or is it just another adobe memory leak,neutral
tikcets are only ãââ½91eachbut i so want to go,positive
 happy mothers day,positive
 its gonna be hot here today too today is ryans last day of prek i cant believe it  ive been a sahm since i had him,negative
is dreaming of the weekend awake,neutral
oh  me ive just returned from the supermarket of doom to find that i have nothing to drink here,negative
 yay but you missed naptime,neutral
dgroup saturdays with a little bit of football an hour nap 3 hours of soccer basketball in the tsu and yogurtland lifes good,positive
just set up a new computer again 15min i love norton ghost,positive
ahhh my mommie got me new sheets for my bed  so comfy,positive
_celeste  finally some sleep in silence,neutral
im just up  and its 1243 o  im so lazy thank god its a bank holiday,neutral
is pretty dang tired but chambers class is for napping,negative
i have to poop   is hogging the shitter,negative
yes im down to 50 full on my dvr  i was at 98 like 3 days ago lol i swear if i didnt have a dvr i would never watch tv,neutral
happy muthaths day to all moms i salute you,positive
hahaha alright  ,positive
 arent you suppossed to support the local economy  lol  good for you and congrats,positive
 good to know   thanks,positive
 what are you flavor of the day,neutral
weathers let me down this morningughhada gd nite tho,neutral
just listened to condre scr and got an invitation to watch their live concert on june 20th in munich httpbitlydaxa0  postrock,neutral
 elo  wow brings back so many happy memories  love this bandand yes i know im showing my age but i dont care,positive
 thats a very cute picture  but you dont get fat from licking bbqs  he must have found some chops on someone elses ,positive
 oh i love sunday mornings like this  mum just made scrambled eggs on toast,positive
hate working when its sunnyboohoo,negative
is online  httpplurkcompstjdg,neutral
bundy in 3 days warm weather here i come,neutral
wondering if i cld make things any worse than they already are answer just did,negative
a dutch marketing agency is asking job applicants to apply in 140 characters or less  httpwwwenergizenltwillicitatie,neutral
twitter has spoiled all the fun frustratingly slow  couldnt even bid properly,negative
_chick haha i completely agree,positive
if we dont pack she cant leave right,neutral
   lolwhere u headed to,neutral
going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,positive
 many mine included ahem shld have known better back then wldnt have missed so many opportunities haha,negative
its nice to leave the office when the sun is still up,positive
i will miss the soccer moms,negative
 between the garlic pills the spider bite between your toe lolclassic and you always being hungry u are killing me 2 funny,neutral
 sighs ah well  maybe my second email will clear it up and get him approved,neutral
  missed all your tweets again joe  that time difference uk dont 4get about your fave supporters in the uk  ,neutral
 that came to my mind so i said it and it has now been adapted into my familys vocabulary,neutral
looking forward to body works today,neutral
just watched yes man bahaha that movie is messed up,negative
 sadly i think i know exactly were you put itin the expired drawer   those things have a life span of less than two years,negative
 too much no not unless one of the pillows ends up suffocating the one sleeping next to you,negative
meeting my best friend first thing in the morning to the gym omg i am still so shocked i hope you will get better soon,neutral
wow that was fastnext up soderling or ferrer gilles simon lost,negative
 yup theory is great but the reality is beyond imagination  i also made the same planning not knowing vs will fail on me,neutral
 glad to know that the ad display problem was due to a firewall config at yr office phew,positive
 woot,positive
i dont like monday i wish it were sunday cause thats my fun day  that was my freaking jam when i was little   i miss it,neutral
       httpbitlynack2,neutral
waiting for the last movie to finish then am test screening ghost of girlfriends past glass of wine and lolly bag in hand yay,neutral
happy starwarsday may the 4th be with you  from everyone _paintball,positive
must head back to the office,neutral
st joe is dirty,negative
httptwitpiccom4w67k  camping at black butte lake,neutral
 are you getting my messages or do you have to add me to recieve them soz im new to this,neutral
i hate my life,negative
sick to my stomach and i have a headache i wish someone could come rub my temples,negative
  natalya you gotta tell me whats going on id call you but i lost all my phone numbers when i broke my blackberry,negative
just thought about how unfair 3 ppl have been 2 me n got depressed again  haters,negative
crying real tears,negative
_brown been holding onto this one for a while  httptwitpiccom4w5eh,neutral
 panchitos burfday party tonight wish you were here kiddo,positive
back from town and my mac crashed on me  but its better now,neutral
archie andrews what were you thinking veronica,neutral
the best things in life are free  x,positive
misses my mom today she was my best friend and even though she has been gone several yrs i still miss her dearly happy mothers day,positive
i am watching blood  on veoh episode 19 love the musicwishing i could watch the live action but not old enough,negative
 that is a bummer,negative
 he is the truth but what about maxwell you cant forget the future father of my children,neutral
httptwitpiccom665jw the racoons ate our bread,negative
be sure to let the moms you know how fabulous you think they are   almost mothers day,positive
_in_a_story glad im not the only one hes our baby and im terrified hell think were never coming back,neutral
no launch today teacher changed plans and we watched a stupid move about tesla,negative
  its very pleasant i sooo rarely just have time to kill,positive
 thank you ooh i see youve read desert islands httpisgdys6k great book,positive
__o lol but tiz a good song,positive
again working on the internet shop  dont think we will achieve the goal of uploading by the previously set time   will keep going,neutral
_anix_ i bought cheesecake ice cream last week thinking it was good and it sucked so much   im taking yours,negative
 what causes the frustration buddy,neutral
_wright thank you return of the mack is the jam,positive
ready for this saddenning depressing dullful upsetting dreadful weekend,negative
sorry for my lack of tweets  ive been buzy new vid this saturday,negative
 i do my humble best  going on a works paintball day soon so that should fuel a few strips no doubt,positive
going to bed  cant take thiss any longeerr maan u,negative
_morden be at richards if not then ill see you when youwe get back  good luck,positive
 thanksi really do appreciate that i know it will be the hardest thing i have ever done,neutral
spent the last hour signing yearbooks ill miss you guys,negative
and i just love every little thing about you,positive
my mobile has stopped recieving text messages again stoooopid thing,negative
 hi simon let me know when its done,neutral
had an amazing night with my favorite lady friend,positive
_oyler poor little woman with her smushed in head,negative
is fixin to clean the house for my mom for mothers day,positive
why do you think people say save the drama fo yo mama im sure even yo mama wouldnt wanna listen to ur drama ode to mothers day,neutral
 hey thats my school i hate that place,negative
 i did i only got 3 stars on the pre wash then failed the rince,negative
my sister in law just left for her prom she looked soo pretty tears all around,positive
 follow me too,neutral
bought three books yipee  now whos with me on that readtenbooksduringthesummer thing,neutral
im really bored my brother went to get his permit stay off the roads jk lol it feels like all my friends have abandoned me except 1,negative
 goodnight,positive
_the_moon hiya hun its just not my day dentist appointment ouchnotebook being a  feeling sick  hows you,negative
 but i do emily ahahha you scare me so it would work,negative
now i need to change my monitor,neutral
 i know dude im doing reruns making jenny watch them now too so we can have conversations lol  havent been online much,neutral
what about me   i vote every day for you ,neutral
should not have waled past the quad i want to be outside having fun,positive
just rocked home from maccas and now signing a petition for big bang to tour aus  lol,neutral
i think the food i ate made me sick i no feel so good,negative
 eagerly anticipating twitpics,neutral
lots of tasks to complete today first wecloming new members to canadamigos social networking site wwwcanadamigoscom and coffee,positive
just wants to stay in bed all day but has to go to work instead  sux,negative
chillen trying to figure this thing out gettin drunk,positive
yay doctors  now interview then back 2 the doctors for blood work,neutral
filming at a carnival for my music video it reminds me of the cherry festival that i used to go to back home ahhh memories,positive
im siiiiiickkk  i dun feel good,negative
 propellerheads has been on my harddrive for a long while just got my music repo back in shape this we and felt nostalgic,positive
glorious sunny day in london town im in drama school fighting people with swords while protecting my romantically structured face,positive
_89 i feel so sorry for her  hope she dnt cry 2nd time,negative
would wish the severe migrains would stop docs prescriptions arent working,negative
0909 full moon my lovely friends and family my bday wish came true3 in additiongray matters is one of the cutest movies ever,positive
my life would suck without you  kelly clarkson,negative
revising for exams,neutral
 you should so host the next logies i only laughed at your bit really,positive
 hi jordan im gonna all of ui know ur busy and i know ur probably tired but please reschedule nc dont leave us out,neutral
__joy i feel like red lea now,positive
 id love to but i think the trek from london would be a bit too much,neutral
 hey hey,neutral
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,negative
is miserable  i feel like im gona cry  sux,negative
 i know they are deliciousmiss germany but like holland as well as we used to shoppin there at weekendslol,positive
 lol very true maybe next year i loooved that siggy and i dont remember what the password for the mod thing was  cake,positive
 lol get watching it again  hehe,neutral
 hope you did great  you certainly spent enough time studying,positive
 btw  downloaded iphone 30 sdk,neutral
straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,negative
 i need botox work on the lips if im going to change my name to angelina jolie but its a thought sad though about the racism,negative
 me a doctor laughs oh no no no i was _cranes patient at arkham aslyum but now i work for him,neutral
morning all have a great day off to school i go,positive
now in a weird mood  muahaz,negative
 congrats photo of dre,positive
sanctuarysunday  thanks for joining on sanctuarysunday follow more sanctuary people to keep up to date on the tweets,positive
done at disneyland kids knocked out stopped by the hotel bar and grabbed a grey goose  tonic on the way uppeace,positive
 ok lol i miss you too i hope your cramps get better i know how painful they can be,neutral
 oh and a very good review,positive
_mileycyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up,negative
im extremely hungry and the only thing i have in my house is soup  i dont like soup pouts,negative
 its hilarious,positive
 i love the guy that was standing behind me,positive
bout to hit the sackgot  to do tomorrow happy mothers day mom,positive
lost my dc hat ,negative
starting the video editing of the first spanking movie we did with mina  it will be added to the next update,neutral
   in effect your podcast is the audio version of your book isn plus it has the added charm of banter  ,neutral
sunny synday morning nicole is up later than usual mommy got some sleep,neutral
browsing  find everything about university  interior design,neutral
i have not tweeted for sixteen days i miss it  ive been having fun though d ingrid on mon was frakking awesome  bbq today,neutral
 visit si fr joemar dito bataan frm camiguin  sum of my ofcmates i are supposed to meet him this saturday  cant luwas,neutral
 i am soo excited about your pasadena seminarif only i can find the confermation email,positive
ugh i dont feel well again all of a sudden,negative
i want a new phone  ive seen too much cellphone commercials ,negative
 well test that theory  with no right arm to strum with  got a feelin ill be humming my new tunes for a while,negative
 httptwitpiccom4vuuy  thats so cool,positive
school 39 days  so exited amazing premier ,positive
  tis very useful indeed esp for newbies like me,positive
gonna go and see my sister at mount sinai   shes there for at least another 24 hours,neutral
 it was just the handle tg,neutral
backe backe muffins,neutral
is relaxing after working on mothers day  oh well a good day had  hope you are all well,positive
lasttt mondayyy of classs,neutral
 yup  now i can join in on the nin access fun,positive
i just walked into work all the while thinking that i was sitting in bellagio this time wednesday,neutral
 unfair  i wanna go too,negative
download movie  a good day to be black 38 sexy httptinyurlcomckmkul cool movie,positive
jus got back from a run up sunset blvd my cuzin tried to kill me my legs are still movin and im sittin down,negative
 aww thats sad  i miss seeing you guys on the big screen,negative
 i knooww   my hot water bottle iss in whangamata without me ahhhhh,neutral
 eeeeep so jealous  im at work  um how can u receive viva do they broadcast it online plz,negative
 thank you so much phaoloo ,positive
 the hotel should be thankful,positive
watching gh i feel so bad for carly  omg so  up,negative
 rofl thats what we like to hear,positive
ok im frustrated there is hella dust between the screens of my blackberry,negative
is anyone awake oh my god i am dying here i want to go to sleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep ,negative
 we do its been to long i think i have next weekend open when are you going to have the house warming party,neutral
change of plans working inside bar tonight,neutral
 thanks for following,positive
 well good luck then,positive
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,negative
arghhhhhhhhh i cant keep up with these twitterbones peeps,negative
undervote is just going on  im all overalled up,neutral
making german apple slice  nom nom nom,positive
looks like its another night at the office lol,neutral
my tummy hurts,negative
got about 2 hours sleep,neutral
anybody else experiencing painful slowdowns with facebook,negative
lol2 people in falconand boo one of them being becca,neutral
i really need to earn money so that i can watch the pcd concert,neutral
the poor pirate had out his last wisdom tooth and is looking really peaky,negative
mozzer cancelled tonight by the looks of it,positive
waiting for aaron to get into town and then leave him for work booo,negative
morning tweat tweat twitter,neutral
headed home  charlies at the vet,neutral
i wanna b maliks from taking the stage,neutral
is going to bed soon happy mothers day to all the mothers  333 ryan less than 3 weeks ,positive
bored bored bored wish i had something to do tomorrow especially with the weather were to have  not fair,negative
 well even with her breakdown she was better than the other acts unfortunately britains got very little talent,negative
about to go to leeds shopping,neutral
 sadly i cant view that site due to region restrictions,negative
its 2050 hs and im still at the officereally tiredwanna go home,negative
aly  aj new album this summer yay,positive
_day26  awwwww have fun with the fam boo boo,positive
 lovelytrinkets i like the way you worded that about rocky road,positive
mexican coca cola in a bottle new favorite thing  no high fructose corn syrup  sugar is so awesomely old school,positive
got people dont let me skip sci pratical becos skola is impt and dont waste my parents money  nt fair,negative
i have nothing witty to say,neutral
 me too,neutral
hi ho  hi ho its off to work we go,neutral
 thanks for the hint  httptinyurlcomchtx7e,positive
 u welcome babe kill the show yuuupp,positive
 hey candis,neutral
 i was never a good stereotypical teen,negative
i love my maitu n she loves me happy mothers day mama,positive
 i am so sorry,negative
i want to go to singapore but my mother seems not,neutral
jb on the front of factor x wooh contest timeee,neutral
 so u arent going to be in chicago,neutral
i have problems wih pizzaii love it too muchim so addicted to pizza  and dot dot curve ,positive
so tired,negative
had a lovely breakfast with mumyummy pancakes,positive
 yay have fun,positive
 why thank you us mamis are bringin sexy back,positive
 lucky thats awesome,positive
oh god a moth was living in a  power outlet  actually my powersquid,negative
i am craving burrito boys  large halibut with everything on it no jalepenos 1 line hot sauce can anybody hook me up,neutral
oh is that time for real,neutral
so now well pay more in sales taxgreat  even worse mom and pop businesses have to double what they pay in business licenses,neutral
i love  very much  i called him but he was talking to other fans  i love you a lot mitchel ill see u in el cajon june 7,positive
i misses my bed  so sleepy,negative
woo two days till awesome gig one day till uni is finished for 12 days  gigs 3yp,positive
no tv and no internet make catherine something something,neutral
anyone have some advice i need it,neutral
just found mj mouse flats at djs of course there are none left in my size,negative
im dreading hearing even worse news tonight,negative
so now that i have a whole 20 followers 5 of them actual people i dont know what to write in here anymore,neutral
haappy bank holiday  2 weeeeks aah,positive
  i thought  was against licensing stores bc it takes away from the experience they want to provide,neutral
_a_michael it doesnt look like youre tired in the pic  dont work too hard,neutral
so i slept in a littlewell a lot whooops,neutral
says my new layout is so cute x see the cuties  hahahah  httpplurkcompsuqp6,positive
 good night rob sleep well safe travels tomorrow,positive
 i know i suck  my data plan is weak sauce,negative
 well i will be making beds creating noise  cleaning cleaning all day long  with music  a smile  x,neutral
  bit of new scientist this weeks an last weeks and watership down,neutral
 dear oh dear,negative
my monday running so fast,neutral
playing at my old school playground still the same except them lame  got rid of the tire swing,negative
happy mommahs day to your moms  httpplurkcompstqya,positive
_cal work orhehe mind in the gutter im sittin here doin this student loan thing,neutral
 lol  i could have written that  would be good to have 2 mondays this week then i might catch up x,positive
 youre surrounded by them i have no official niecesnephews yet,neutral
 cant wait for dte in michigan this summer you guys are great look for me in the customized nkotb track jacket,positive
 nope i have a fifth generation ipod classic  it likes to be dumb,negative
 meetings are overrated,negative
 i love the smell of procrastination in the morning oder so,positive
 i considered being a nurse when i was younger but i really dont think i could cope if a baby died,negative
 i know  i am definitely going to try and see up this weekend,positive
 nice i will be there,positive
oh no i must be gettin old my mom use to watch this showi miss her,negative
 lol that just totally made me laugh which made my day,positive
tonight was fun,positive
 this creepy guy when i was walking the dog  ive had my fill of creepers for the day,neutral
good morning  just took the longest shower ive ever taken in my life like 45 to 50 min shower woah lol,positive
is on facebook,neutral
i get to drive my dad to the airport so he can fly to vegas for the wsop i wanna go to vegas,neutral
franco made breakfast for mom here hes trying to cut the strawberries only safe knife  fb httptwitpiccom4wsmw,neutral
 httptwitpiccom4w9h2 better in person had to send u this i feel like mouse from the american tail  over in ri,neutral
allergies  sun is out wearing shorts  stuck with my advisory the whole day this should be boring except fun if people make it fun,negative
 thank you you should know that i am both happy and sad all at the same time to know that youve got the right stuff,neutral
_merchant i agree but teenage daughter will be spending my money on the movie of their concert this week,neutral
someone out there will soon  be the lucky recipient of my 5000th tweet oh wait  this was it,neutral
good  morning just went to bed it feels and already morninggoes fast now i am going to the gym soon have a nice day,positive
 one of our governors is one of the directors of the company,neutral
no internet for a week or longer,negative
jesus christ meadowhall could do with better air con too hot,negative
is listening to pnk tunage and trying to teach my cat to dance to it i think shes getting it we can be backing dancers by next tour,neutral
 i sure she can,positive
getting ready for work and the sun is shining plus its the we bgt tonight what am i gonna do after its finished,neutral
this aztec mask is harder then i thought but u kno what i think i did a pretty good job for not being an artist,neutral
listenin to some old school new found glory hedro gimi a high school band i can down load besides home grown,neutral
kelly kelly pays your bills  1215 kaden pays em  515 and  just wants you to follow him lol he dosent get to pay bills,neutral
 i want to gooo,positive
evryone come here httpwwwblogtvcompeopleginanicole2 were spamming so much and blogtv is glitching and it might work,negative
ready for tomorrow my mommy will get her gift for mothers day hope she loves it,positive
ugh fun concert  screen cracked on phone again because it fell ,negative
 if you take backstreet boya and put them in silk mc hammer pants with sgt peppersbeatles coats and lame music then you have smap,neutral
so happy my vstudio shortcuts are backkk,positive
 cant wait to hear the evp and cuuuute picture,positive
headed to verizon praying that pinkberry is going to make it,positive
awaiting reply from two projects one cancelled,negative
coco still out,neutral
 have you watched you belong with me   by my lovely sister  kiddin,positive
 hello again  howd ur saturday go,neutral
 why arent you showing up as a spymaster in my screen,neutral
well sacramento i hope you appreciate rivkah sass  treat her well ill be sitting here in omaha pouting,positive
leaving the beach  having a great day with vicente  we needed this time together,positive
got caught in the rain sand monsoon all the way home even though i looked like a complete idiot,negative
just left  already misses nashville  be back sunday,negative
going to bed after the cavs game  dont judge me lol,neutral
 youre a busy bob im jealous im not sure i can even afford to go meet john de lancie and leonard nimoy,negative
i am living in a country where the government is always a circus show  sad but true,negative
went twitter crazy last nigh p well thats what happens when u got nothin ta do at 2 oclock in da mornin,neutral
 i want chocolate,neutral
httptwitpiccom4ja8r  tell me how can you not love someone like this,neutral
 yep  but im going better now,positive
fun is being had,positive
 my nose stud fell out and i cant find it  looks like ill have to head into amsterdam today and get a new one,negative
_by_spork we shall see,neutral
_other excellent analogy,positive
good morning tweeps busy this am but not in a working way,positive
 lmao im only joking mate,neutral
 follow me baby u said n da chat u will  luv ya goodnite,positive
been busy at work now must run before traffic is too bad,neutral
got a rad new tshirt from my aunt made from some cool shiny shiny pink material,positive
 it was an awesome talk  find it very true that i am watching the ruby community closely,positive
f1 in a few hours guess who is sleepin in the living room,neutral
 hahaha niene ur soo smart lmao i think that is who its by  good lookin whts up gurlie i come home this weekend,positive
httptwitpiccom664oz  this is what happens when i have no models,neutral
i hereby announce that i am employed couldnt be happier alhamdulillah,positive
i juz registered my cp in twitter but my tweets wont go thru arghhmm wanna follow my idols lyk  away from the pc,negative
speakingspeaking ,neutral
paid all my bills only to go out to the mailbox to find more of them,neutral
 i could but that would require today not to be a duvet day i imagine that my outfit for the wendyhouse will be photo worthy,neutral
 glad to hear you made it out i hear that place used to be its own country  looking forward to your arrival,positive
found a swing set for sale 2 blocks from home super cheap i want it 4 my kids but no one is answering the phone  listed,neutral
so many farewell parties sad to see people leaving ,negative
  still a pity it comes with no lamb though,negative
 ive got cups but you gotta come get them,neutral
take that take that in your faces  robbie won,positive
 no other reason i wonder if she loves you,positive
 happy birthday ness,positive
 wow i really hope it gets better asthma sucks,neutral
feels my cousin is a monkey  httpplurkcompx23pa,negative
charlie and the chocolate factory in the mood for some johnny depp then bed preparing for a 14 12 hour wok day tomorrow,neutral
 wasnt the layers just absolute positioned divs web compability killer,neutral
dont you hate it when youre left with one slice of bread left in the bag half sandwich,negative
loves random acts of kindness and laughter,positive
gha off to work  hopefully traffic has cleared up by the time i get there,positive
just watched another episode of jonas is it better than hannah montana very much true,positive
going to meet the new family im babysitting for wish i was still sleeeeping,positive
 hi heather i dont know why but i just saw your messages from april have not been very twitter friendly,negative
 i cant belive you only have one episode to go  ,neutral
 you can also watch family guy online wwwfancastcom  and yes i am a total shill,neutral
 i know right  poorpoor girl it shows why they shouldnt put young people in competitions like this though  ,negative
not excited for 32 people reservation in the morning   lovin halo3 right now for sure too,neutral
 wowie wooie someone updated their twitter without me having to remind you im not even madim impressed  how was the lasagna ,positive
today is another good day for some less extreme experiences anyone a fan of 24 im watching season 4 now,positive
 i was going tonight but you never wrote me back with the info  im sososo sad,negative
 still not 100    im sick of being sick,negative
_collins im not sure i understand how this twitter thing works,neutral
wat a stressful week i jus hope everything falls into place 4me,negative
with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow,negative
aww i got to see my 1st grade teachers last day before she retired,positive
 for sure you should continue to tweet while on conf call while worrying about cat and bee,negative
lol made a huge mess of my school shirt was using charcoal sticks in 2d art,negative
 when will she b finished,neutral
bgt made me cry tonight,negative
gawww why is facebook being so slow,negative
 im cool  cant wait to hear these stories xoxo,positive
bird poo update managed to clean it all off but some slight stainage remains  any tips,neutral
also i was conviced to do a happy dance and then told it was the most adorable happy dance ever,positive
i day til nyc and the journey soon begins music baby,neutral
i feel in love with pizza girl now i eat pizza everyday,positive
 11 30s way early anyway nigth night  love you,positive
 if i say please reply to me dougie will you do it i double dare you,negative
 im not either we should have went out snicker although i am enjoying listening to rr and my beer,neutral
 hey esmee how u doing,neutral
 muahahahhahaha   well maybe they think im crazy or something i havent scared  yet though,positive
 nopenot drunksometimes i think maybe i shouldthen maybe twitter would make sense ya know,neutral
today got her pop tshirt  lovess ittt  haha x,positive
 epicentre wheelock place  tourists only,neutral
perfect night best month of my life so far you my boo ,positive
 yayy  youll can help me im doing my english homeworks which i had to do during the holidays ,positive
 hi ya demi im glad ur back   httptwitpiccom4vuuy i personally love the picture haha,positive
 think you should do a tour in england we dont got to see any aweomse people ,negative
puke in my mouth the brilliant response to  in my pants  httptinyurlcomcy8z7y  over the top wrong,neutral
